name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mumbai,2024-03-24,31.2,25,28.2,36.1,25,30.5,22.3,70.9,0,0,0,,0,0,35.3,19.8,302.8,1010.7,20.6,3.2,287.9,25,10,5,2024-03-24T06:39:13,2024-03-24T18:50:47,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-25,32,25.3,28.6,37,25.3,31.5,22.5,70.1,0,0,0,,0,0,32.4,19.8,315.3,1011.1,2.5,3.3,290.3,25.3,10,15,2024-03-25T06:38:22,2024-03-25T18:51:01,0.5,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-03-26,31.7,25.3,28.6,38.1,25.3,31.9,23.1,73,0,0,0,,0,0,33.1,21.1,288.2,1010.8,0.9,3.3,293.4,25.3,10,15,2024-03-26T06:37:32,2024-03-26T18:51:16,0.53,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-27,30.7,25.8,28.5,37.4,25.8,33.1,24.6,79.5,0,0,0,,0,0,25.9,22.3,269.6,1012.4,25.8,3.1,283.4,24.6,9,15,2024-03-27T06:36:41,2024-03-27T18:51:30,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,AUBD,43003099999,43057099999,43060099999"
mumbai,2024-03-28,30.9,26.9,28.6,36.8,29.5,32.8,24,76.5,0,0,0,,0,0,24.8,20.2,273.6,1011.1,21.2,3.3,243.8,21,8,15,2024-03-28T06:35:51,2024-03-28T18:51:44,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,AUBD"
mumbai,2024-03-29,30.9,27.4,29.2,36.8,29.8,33.3,23.5,71.7,0,0,0,,0,0,25.2,17.5,280.9,1010.1,28.9,3.4,253.1,21.8,9,15,2024-03-29T06:35:00,2024-03-29T18:51:59,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,AUBD"
mumbai,2024-03-30,31.4,26.9,29.2,36.6,29.4,33,23.2,70.7,0,0,0,,0,0,30.6,21.1,293.3,1011.5,23.5,3.5,257.5,22.3,9,15,2024-03-30T06:34:10,2024-03-30T18:52:13,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,AUBD"
mumbai,2024-03-31,32.9,27,30.1,38.5,29.2,32.7,20.9,58.9,0,0,0,,0,0,38.9,21.5,314.6,1012,13.4,3.8,278.4,24.1,10,5,2024-03-31T06:33:20,2024-03-31T18:52:27,0.71,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ"
mumbai,2024-04-01,32.4,27,29.3,38.4,29.8,32.8,22.7,68.2,0,0,0,,0,0,31,20.2,304.2,1009.7,33.8,3.6,289.2,24.8,10,5,2024-04-01T06:32:30,2024-04-01T18:52:42,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,AUBD,43003099999"
mumbai,2024-04-02,30.9,24.8,28.5,35.2,24.8,31.2,22.3,69.6,0,0,0,,0,0,33.5,21.1,295.9,1008.5,31.3,3.4,298.7,25.8,10,10,2024-04-02T06:31:40,2024-04-02T18:52:56,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-03,31.4,25.4,28.6,35.4,25.4,31.2,21.8,67.2,0,0,0,,0,0,31.7,20.5,300.7,1009.5,16.5,3.3,298.1,25.6,10,10,2024-04-03T06:30:51,2024-04-03T18:53:10,0.81,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-04,31.7,25.3,28.8,37.5,25.3,31.6,22,67,0,0,0,,0,0,31.7,19,297.9,1010,23.5,3.3,295.9,25.5,10,5,2024-04-04T06:30:02,2024-04-04T18:53:25,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-05,35,25.4,30.1,40.1,25.4,32.7,21.3,62.9,0,0,0,,0,0,32.8,21.8,313.2,1009.4,6,3.3,298.5,25.8,10,10,2024-04-05T06:29:13,2024-04-05T18:53:40,0.88,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-06,36,26.4,31.7,38,26.4,32.4,17.4,44.3,0,0,0,,0,0,35.3,21.1,329.4,1008,23.2,3.2,285.4,24.6,9,10,2024-04-06T06:28:24,2024-04-06T18:53:54,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
mumbai,2024-04-07,34.2,27.1,30.4,35.9,29.2,32.1,19.7,54,0,0,0,,0,0,42.5,22.3,303.9,1008,11.6,3.2,303.5,26.3,10,8,2024-04-07T06:27:36,2024-04-07T18:54:09,0.95,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
